"NMDS1";"NMDS2";"NMDS3";"NMDS4";"Island"
-0.616384265393635;0.489329573085005;-0.243703750821337;-0.264369008135539;"TRE"
-0.631683563859418;0.633993626406707;-0.22508489014324;-0.422202479587554;"TRE"
-0.844571936831699;0.649498501706036;0.210582776908749;-0.0444994863670219;"TRE"
-0.727082077048405;0.283678436269815;-0.0724690924223546;-0.408803022361526;"TRE"
-0.28692269680041;0.0399647579149119;-0.0849267181219299;-0.236876610251222;"TRE"
-0.242319815380163;0.118178634511133;0.680498027809218;-0.0854415649949418;"TRE"
-0.40817664757857;0.324793235050701;0.542896457472086;0.211135569221575;"TRE"
-0.357032700521813;0.0145272249491354;0.200430536706517;-0.151350467060778;"TRE"
-0.792741262607257;0.389574697157871;0.162778700294461;0.116175661433295;"TRE"
-0.678901732714395;0.684420097010205;-0.0616773908560974;-0.0622137643812393;"TRE"
-0.580028630875802;0.269724819789774;-0.329531703735182;-0.137685832930615;"TRE"
-0.521218844081792;-0.152004631714329;0.398995029208111;0.0666262607510525;"TRE"
-0.498520872572269;-0.0334896234796956;-0.633585741534446;0.2198117298264;"RAS"
0.435194239223472;0.268741466862847;-0.284932187786031;0.302931387285717;"RAS"
0.226146220523492;-0.203574880880544;0.165791748712258;-0.168207139180625;"RAS"
0.557252110712367;0.550740061728587;-0.241429914972204;-0.0387536475398542;"RAS"
-0.213476762773964;0.0432856950945207;0.073425191177944;0.148746885266478;"RAS"
-0.132553333893657;0.404736304428619;-0.0682925254789826;0.62089108721833;"RAS"
-0.290699410894634;0.056897520086659;-0.288184947489535;-0.105950665557279;"RAS"
-0.227209892555782;-0.315222921851614;0.296439594052821;-0.143304060669784;"RAS"
0.782291479863623;0.0791010616361815;0.23310691007864;-0.33863469453079;"RAS"
0.123518427795752;-0.435974644269917;0.106518587378529;-0.070454327850865;"RAS"
0.242864094759423;0.0478296480074559;-0.0972830368073823;0.685559181796847;"RAS"
0.17810150788826;-0.373982900765978;0.216610785235754;0.27710392911892;"RAS"
-0.153652249758859;-0.395317899986223;0.477165767393559;0.153060571572943;"TRE"
-0.411161892369495;-0.605261055430971;0.455533280787734;-0.119497423520852;"TRE"
0.347096572458234;-0.213917990887358;0.0546659621610333;0.0126050264941734;"TRE"
-0.112646572509185;-0.213229687356202;0.280984063065613;-0.143453375128896;"TRE"
0.226249041681458;-0.729446632009259;0.283524934339605;-0.162353194755511;"TRE"
0.0370824763847252;-0.211951600620525;0.687881223393167;0.12097683155402;"TRE"
0.059557341373448;-0.461509898906677;0.239110073948907;0.419671358091487;"TRE"
2.50241301492879;1.39386994627436;0.0182780329984249;-0.320081992528289;"TRE"
1.03585285315731;0.420893357792913;0.240735755107207;-0.251915181397361;"TRE"
-0.52498753400849;-1.19137059823076;-0.496556314034356;-0.0221233570718575;"TRE"
0.258707959828481;-0.710791657160064;0.312627435010452;-0.159539196006093;"TRE"
-0.0249213446370579;-0.793200271742785;0.201377787746321;-0.162754197571354;"TRE"
0.596116028239795;-0.656654856025354;-0.347011063945833;-0.286252189969052;"ESC"
0.703402276410088;0.681835211247136;0.0130296258456066;0.687781424453206;"ESC"
0.833802699325123;0.714880721199221;0.0111862194829997;0.703728347793355;"ESC"
0.745599854752265;-0.107584712116705;0.62697677630996;-0.0532012107492882;"ESC"
-0.0104649238660448;0.535954138119401;0.0189989094185188;-0.336622992211744;"ESC"
0.0319793782627988;-0.0688351642216688;0.290176121800536;-0.221152802296008;"ESC"
-0.108908315853798;0.0191398267280382;0.0718573361546817;0.494160017811303;"ESC"
0.744218250915441;0.13214633778258;-0.367377077831219;-0.346503024150666;"ESC"
-0.471557330487473;0.0226149282285642;0.282938086844328;-0.472551677038087;"ESC"
0.670571026990797;1.66857738937497;-0.19391586723881;0.459293842629727;"ESC"
0.061840426193958;0.108174652133132;0.599775605511892;0.0985251359105747;"ESC"
0.0279625264097819;0.416226631197641;-0.152262210582605;-0.664802148494873;"ESC"
0.00968063028380073;0.0521184110790398;0.331211017291822;-0.169051584464596;"ESC"
-0.374058505490289;0.338684978687502;0.399967565027398;-0.585113620736986;"ESC"
0.101006486872276;0.358081504765977;-0.298476499914813;-0.401224402255825;"ESC"
-0.439934135029886;-0.145702018149425;0.284687244370983;0.207059929329054;"ESC"
0.828123298485728;-0.443465312307797;0.340591730253954;-0.233989648081043;"ESC"
-0.606485296485251;-0.283524993422625;-0.0647819765370475;0.531032728989996;"ESC"
0.535844350331181;-0.264024159499014;-0.349297517142093;0.101030782199865;"ESC"
0.245793317577949;-0.590948501597801;0.411818182583006;0.0525026070758435;"ESC"
-0.23529152041649;-0.620942265679606;0.12717563984624;0.364626943317139;"ESC"
-0.0672621010233862;-0.311807952350823;0.382743592808148;0.32052485222058;"ESC"
0.0993618866023965;-0.366997570471461;-0.257007414143132;-0.10222705692645;"ESC"
0.246597428338291;-0.719914851388454;0.282482393140125;-0.158076257398629;"ESC"
0.258383061807298;-0.634742335940732;-0.448288019401477;-0.0566329159639829;"RAS"
0.139613090416314;-0.415835216094544;0.231249433213714;-0.0745083354296359;"RAS"
-0.0463948843492001;-0.28241473591143;0.773911593667377;-0.0169342750382479;"RAS"
0.227262483139609;-0.710665852182013;-0.111201687464042;0.630008723969392;"RAS"
0.61014901337186;-0.542765886521094;-0.196185446390008;0.37939765011627;"RAS"
0.801291833369902;-0.504316976342802;-0.255651212788838;0.203827798059995;"RAS"
0.825259950125371;-0.333404985125139;-0.161431445090869;0.553428546097453;"RAS"
0.517216741774299;-0.0115625236798148;-0.530772505917314;0.313469346683299;"RAS"
-0.0526551150272431;-0.134625730329482;-0.238406675227881;-0.0229132556994427;"RAS"
0.737352281211162;-0.218823010571118;-0.312530720085001;-0.0627476425390411;"RAS"
0.333825256748973;-0.673857231041427;0.183111912337525;-0.175610741792405;"RAS"
0.236338676001484;-0.586191864271149;-0.48772177616597;-0.0249636458542821;"RAS"
-0.0745146196312692;-0.0715590113173323;-0.205085339085167;-0.22424218948788;"TRE"
-0.586045768447298;-0.160238205533925;-0.290191348836028;-0.368885190675496;"TRE"
-0.629523533960297;-0.355682489115468;-0.328014108288183;-0.199714467526578;"TRE"
-0.528820076318448;0.220889804885503;-0.55596765148883;0.717455269469265;"TRE"
-0.641492607439301;0.404463673080917;0.319513767296061;0.577610471466844;"TRE"
-0.754391594313235;0.187245266416262;0.085366035238894;0.206887317016991;"TRE"
-0.765481440657968;0.163336941716096;-0.0167906663440757;0.222079664140085;"TRE"
-0.626614273687155;-0.330610177793591;-0.32970460963412;-0.214184714757887;"TRE"
-0.711130063787164;0.137221477008048;0.125590071739037;0.446546886724447;"TRE"
-0.742463342045826;0.118575845967907;-0.0393901626267401;0.0696425579270289;"TRE"
-0.501582734567801;0.398581138644113;-0.576314998208115;0.17049413428763;"TRE"
-0.493605412124119;-0.0871950066676819;-0.401229128373368;-0.138080684625665;"TRE"
0.264017651079558;0.132856993330791;0.3223341410726;-0.0953969296888606;"RAS"
0.163298069474949;0.319831901739178;0.706578781552272;0.513838348214098;"RAS"
0.382064998093729;0.00303050664615661;0.306709668473435;0.205193887846365;"RAS"
0.354837008535609;0.860780366834503;0.224297787753312;0.168075199756032;"RAS"
0.27463095514705;0.31397643377149;-0.278531861242501;-0.486116346408847;"RAS"
0.103565568551261;0.171666643844059;-0.277609764754655;0.0854634421402368;"RAS"
0.101729820468664;0.0297625906663405;-0.217120831947153;-0.196701526235536;"RAS"
0.249497562482928;-0.149495714465383;0.244138649725552;-0.233756970173987;"RAS"
0.299904982884079;-0.608215627738167;-0.447654996679751;-0.0809563270507674;"RAS"
0.38986680915484;-0.748595455752491;-0.366370208201217;-0.197413954102577;"RAS"
0.300545929443943;-0.801409625723956;-0.370289774413002;-0.151680840350901;"RAS"
0.480910878942526;-0.357227589144107;-0.53988059365526;-0.241610034259138;"RAS"
-0.264225152000375;0.716872064978641;0.113463684894924;0.204551032825483;"ESC"
-0.249298261354939;0.646829871947132;-0.0261962642250657;0.0448134419158469;"ESC"
0.0139311547524564;0.569415098746614;-0.212195585148493;-0.311426587075702;"ESC"
-0.434951561409703;0.178012610781695;-0.373925233789884;-0.183176716263065;"ESC"
-0.409263518107909;-0.109442178039099;-0.473485113441438;0.601690574172351;"ESC"
-0.430892463140904;0.0147882202955675;0.355169494058146;-0.452983124707876;"ESC"
-0.456654845328654;0.940875711061099;-0.00257399939180141;-0.382441807568649;"ESC"
-0.217222196947064;0.514136682009639;0.516543214152076;-0.402758484336184;"ESC"
0.195604127573672;0.440144384180362;-0.320361343602628;-0.227000561017693;"ESC"
-0.237824512139779;0.439756517880318;-0.417439508704458;0.211066453865828;"ESC"
0.192913654780858;0.45924423073337;-0.121551717234064;-0.562373004282259;"ESC"
-0.502334620797876;-0.14498169164686;-0.435700803466203;-0.0646582609911409;"ESC"
