"NMDS1";"NMDS2";"NMDS3";"NMDS4";"Island";"Depth_range"
-0.349147701132758;0.123987306475055;-0.0690856899332064;-0.209374208521887;"TRE";"0 to 5.0"
-0.403147337984099;0.384225224017526;0.0699641919013101;-0.353207375275265;"TRE";"0 to 5.0"
-0.641517042442433;-0.066840190798551;0.654955786832237;-0.532696559128677;"TRE";"0 to 5.0"
-0.884220971189994;0.22881331735838;0.536867765536628;-0.094205599575448;"TRE";"0 to 5.0"
-0.341525458602916;0.702128060485149;0.494171599982539;0.0542108790655555;"TRE";"0 to 5.0"
-0.288278637472665;-1.1823905633805;0.137425416013598;-0.454734808717722;"TRE";"0 to 5.0"
-0.766057005420604;0.0993636766162136;0.104663886578459;0.0688097176687726;"TRE";"0 to 5.0"
-0.634196367505731;0.434317787014632;0.159126863798437;-0.168085301317087;"TRE";"0 to 5.0"
-0.327008520213603;0.474461822500309;-0.0336643608533313;-0.000850567551749217;"TRE";"0 to 5.0"
-0.887929781287632;0.177730119012823;-0.468203337031081;0.0124681773960737;"TRE";"0 to 5.0"
-0.713924563750346;0.245640074635154;-0.0799377662749023;0.2148082652894;"TRE";"0 to 5.0"
0.240926987442781;-0.161289839501021;0.165872584958027;-0.396889293856117;"TRE";"0 to 5.0"
-0.897324948747221;-0.0192148163098918;-0.109716659576906;0.0996762424585384;"TRE";"0 to 5.0"
-0.713924563750346;0.245640074635154;-0.0799377662749023;0.2148082652894;"TRE";"0 to 5.0"
-0.421966028132083;0.26394832820512;0.106627525400187;0.542368030405011;"TRE";"0 to 5.0"
-0.349147701132758;0.123987306475055;-0.0690856899332064;-0.209374208521887;"TRE";"0 to 5.0"
-0.181590389545839;0.317255015463676;0.492265488275994;-0.1471223444146;"TRE";"0 to 5.0"
-0.327008520213603;0.474461822500309;-0.0336643608533313;-0.000850567551749217;"TRE";"0 to 5.0"
-0.403147337984099;0.384225224017526;0.0699641919013101;-0.353207375275265;"TRE";"0 to 5.0"
-0.692883595985431;-0.485577003127816;-0.470898604386969;0.573530035918493;"TRE";"0 to 5.0"
-0.387652831385098;0.541315379552037;0.615458616160713;-0.0104138057659117;"TRE";"0 to 5.0"
-0.713924563750346;0.245640074635154;-0.0799377662749023;0.2148082652894;"TRE";"0 to 5.0"
-0.288278637472665;-1.1823905633805;0.137425416013599;-0.454734808717721;"TRE";"0 to 5.0"
-0.512139081289576;0.280215658023489;0.0307691465395787;-0.30920193560332;"TRE";"0 to 5.0"
-0.285691910079132;0.51629123179453;-0.602782934620342;0.382847121372409;"TRE";"0 to 5.0"
-0.692883595985431;-0.485577003127816;-0.470898604386969;0.573530035918493;"TRE";"0 to 5.0"
-0.887929781287643;0.177730119012824;-0.468203337031087;0.0124681773960739;"TRE";"0 to 5.0"
-0.349147701132758;0.123987306475055;-0.0690856899332064;-0.209374208521887;"TRE";"0 to 5.0"
-0.403147337984099;0.384225224017526;0.0699641919013101;-0.353207375275265;"TRE";"0 to 5.0"
0.240926987442781;-0.161289839501021;0.165872584958027;-0.396889293856117;"TRE";"0 to 5.0"
-0.565304550029056;0.023565328120656;-0.0340511942702764;0.353532142406859;"TRE";"5.1 to 9.9"
-0.748069118145572;0.249554587207901;-0.0587140850383355;-0.40099610832207;"TRE";"5.1 to 9.9"
-0.366681081721248;0.599549306042338;0.199051608928803;-0.0903967660449488;"TRE";"5.1 to 9.9"
-0.858095503423647;-0.301902674524216;0.365244781298893;0.211847466965489;"TRE";"5.1 to 9.9"
-0.252387704475802;0.0671250835590218;0.152057619717027;-0.876867709882943;"TRE";"5.1 to 9.9"
-0.322471159268644;0.363945451203903;0.197394857612573;-0.537856132884416;"TRE";"5.1 to 9.9"
-0.306148980467304;0.753588495715624;0.214895906030089;0.425038465868554;"TRE";"5.1 to 9.9"
-0.366681081721248;0.599549306042338;0.199051608928803;-0.0903967660449488;"TRE";"5.1 to 9.9"
-0.308280068163586;0.0769937916661428;-0.117433323230594;0.391101016990798;"TRE";"5.1 to 9.9"
-0.526234137243572;0.426564588035595;0.253463508537536;-0.045506694167286;"TRE";"5.1 to 9.9"
-0.673696186673212;-0.483304646248702;-0.0763706862646472;-0.201058371297531;"TRE";"5.1 to 9.9"
-0.528341107862986;-0.20541981172741;0.17885872146491;0.159537085176689;"TRE";"5.1 to 9.9"
-0.753120219635748;-0.0151427647861381;-0.662056602193961;-0.271099209313988;"TRE";"5.1 to 9.9"
-0.366681081721248;0.599549306042338;0.199051608928803;-0.0903967660449488;"TRE";"5.1 to 9.9"
-0.565304550029056;0.023565328120656;-0.0340511942702764;0.353532142406859;"TRE";"5.1 to 9.9"
-0.47062710984781;0.0293969869987217;0.188025632279776;0.0433553148475399;"TRE";"5.1 to 9.9"
-0.205389623964163;0.418787498726233;0.732488028530085;0.0230378386439621;"TRE";"5.1 to 9.9"
-0.858095503423647;-0.301902674524216;0.365244781298893;0.211847466965489;"TRE";"5.1 to 9.9"
-0.714685034008141;0.369506088527686;-0.372422488850437;0.310319500360422;"TRE";"5.1 to 9.9"
-0.267716368525306;0.423320002760219;0.111771130094879;-0.632934065977144;"TRE";"5.1 to 9.9"
-0.610685179453528;0.32495665887185;0.533979026990093;0.431953271499207;"TRE";"5.1 to 9.9"
-0.153421111343673;-0.426938466361649;0.284435933269369;-0.399438212868703;"TRE";"5.1 to 9.9"
-0.565304550029056;0.023565328120656;-0.0340511942702763;0.353532142406859;"TRE";"5.1 to 9.9"
-0.610685179453528;0.32495665887185;0.533979026990093;0.431953271499207;"TRE";"5.1 to 9.9"
-0.714685034008141;0.369506088527686;-0.372422488850437;0.310319500360422;"TRE";"5.1 to 9.9"
-0.612675405547755;0.524999960137694;0.0896422767613096;0.180757979033091;"TRE";"5.1 to 9.9"
-0.47062710984781;0.0293969869987217;0.188025632279776;0.0433553148475399;"TRE";"5.1 to 9.9"
-0.858095503423647;-0.301902674524216;0.365244781298893;0.211847466965489;"TRE";"5.1 to 9.9"
-0.308280068163586;0.0769937916661428;-0.117433323230594;0.391101016990798;"TRE";"5.1 to 9.9"
-0.62540319527544;0.0158557282373087;0.764638444624822;-0.0366449247814257;"TRE";"5.1 to 9.9"
-0.330214553406176;-0.483199864144588;0.0964444049107227;0.16155586741688;"TRE";"10.0 to 16.9"
-0.321831572838004;0.137297307644591;0.501760506619468;-0.538945114892842;"TRE";"10.0 to 16.9"
-0.571955139668836;-0.430690870376935;-0.00227367293404332;-0.563017516306197;"TRE";"10.0 to 16.9"
-0.58850642744325;0.130056940403105;0.332822864765404;-0.763150008493391;"TRE";"10.0 to 16.9"
-0.369496978603701;-0.388678773779081;0.305639290692823;0.251811428080614;"TRE";"10.0 to 16.9"
-0.731231549445003;-0.835449254380742;0.701573902092815;0.131183114140024;"TRE";"10.0 to 16.9"
-0.694464317669731;-0.4990186619676;-0.119937254493015;-0.0156021558117289;"TRE";"10.0 to 16.9"
-0.571955139668836;-0.430690870376935;-0.00227367293404332;-0.563017516306197;"TRE";"10.0 to 16.9"
-1.46523649863216;-0.804732762461624;0.12028098836495;0.548931215901617;"TRE";"10.0 to 16.9"
-0.390110341511156;-0.182559396366962;-0.208625226197296;-0.858002632899393;"TRE";"10.0 to 16.9"
-0.390110341511156;-0.182559396366962;-0.208625226197296;-0.858002632899393;"TRE";"10.0 to 16.9"
-0.56801985189169;0.232624401803832;0.349940204542441;-0.495360764744251;"TRE";"10.0 to 16.9"
0.0981713427118766;-1.09346682458393;0.0630025795590719;0.433038824318306;"ESC";"0 to 5.0"
0.0645233665230097;-0.695908311657332;0.158777241683655;0.309164172741487;"ESC";"0 to 5.0"
0.0663872946299188;-1.13756731423476;0.294691767612707;0.195521972661376;"ESC";"0 to 5.0"
0.26244965028211;-0.441912069435186;-0.170049299404282;0.213573325897619;"ESC";"0 to 5.0"
0.648862330840491;-0.39981783062512;-0.4579480552296;-0.105224723894859;"ESC";"0 to 5.0"
0.791917894596693;-0.0490485378101862;-0.0653038557929812;-0.470446354453829;"ESC";"0 to 5.0"
0.630741089566471;-0.259157319303056;0.268753134728694;0.467493936775497;"ESC";"0 to 5.0"
0.630741089566472;-0.259157319303056;0.268753134728694;0.467493936775497;"ESC";"0 to 5.0"
0.125725064224071;0.335827535523091;-0.275675999886049;-0.309556155820836;"ESC";"5.1 to 9.9"
0.196480680194848;0.313886819957747;-0.16606481162185;0.0201897454805564;"ESC";"5.1 to 9.9"
0.244937172149166;-0.311103565156185;0.795742102929862;0.367931573582566;"ESC";"5.1 to 9.9"
0.22841753864874;-0.552960424294537;-0.689156273099056;0.207031928487246;"ESC";"5.1 to 9.9"
-0.0777516820643082;-0.434243869254473;-0.730621352743403;-0.252141770420196;"ESC";"5.1 to 9.9"
0.237852235862308;-0.660901678633221;-0.0123718904205377;0.305238432548044;"ESC";"5.1 to 9.9"
0.125725064224071;0.335827535523091;-0.275675999886049;-0.309556155820836;"ESC";"5.1 to 9.9"
0.624445702037047;0.128838460518292;0.407180919575692;-0.0337240191874867;"ESC";"5.1 to 9.9"
0.675631942344759;-0.0714786693992454;0.619909448599678;0.128038946045747;"ESC";"5.1 to 9.9"
0.26759191719406;-0.843340535881851;-0.326684101102198;0.0374619005940043;"ESC";"5.1 to 9.9"
0.22841753864874;-0.552960424294537;-0.689156273099056;0.207031928487246;"ESC";"5.1 to 9.9"
0.578848818677623;0.628941771325506;-0.307294903532042;-0.346514447221169;"ESC";"5.1 to 9.9"
0.267591917194059;-0.84334053588185;-0.326684101102198;0.0374619005940043;"ESC";"5.1 to 9.9"
0.244937172149166;-0.311103565156185;0.795742102929862;0.367931573582566;"ESC";"5.1 to 9.9"
0.22841753864874;-0.552960424294537;-0.689156273099056;0.207031928487246;"ESC";"5.1 to 9.9"
0.686794284839675;-0.243552216289625;-0.311020873147094;0.360477951826511;"ESC";"5.1 to 9.9"
0.72185504676117;-0.141808839631166;0.469398771589069;0.312910960110921;"ESC";"5.1 to 9.9"
0.196480680194848;0.313886819957747;-0.16606481162185;0.0201897454805564;"ESC";"5.1 to 9.9"
0.514527122464528;0.675298146435829;-0.366331203409246;-0.172133706247779;"ESC";"5.1 to 9.9"
-0.306246951558391;-0.269461585843884;0.445158712256355;0.680694153887099;"ESC";"5.1 to 9.9"
0.244937172149166;-0.311103565156185;0.795742102929862;0.367931573582566;"ESC";"5.1 to 9.9"
0.715082342863865;-0.221581037219743;0.799007604330951;-0.210311252777654;"ESC";"5.1 to 9.9"
0.836530665329314;-0.539162439109477;-0.0234066836248894;0.0697982382232425;"ESC";"10.0 to 16.9"
0.59857710079449;0.570360278212568;0.0120831736852188;0.135464334414415;"ESC";"10.0 to 16.9"
0.326350083772306;0.340269838981377;-0.264428867821241;-0.0232198877602097;"ESC";"10.0 to 16.9"
-0.253185909963217;0.0640456580558611;-0.12433825299058;0.859206928185423;"ESC";"10.0 to 16.9"
0.231411762592318;0.318602584135824;-0.386172505510496;0.0645036248798255;"ESC";"10.0 to 16.9"
0.36295571812849;0.470756148115369;-0.173123035347717;0.341822890197274;"ESC";"10.0 to 16.9"
-0.253185909963218;0.0640456580558611;-0.12433825299058;0.859206928185424;"ESC";"10.0 to 16.9"
0.59857710079449;0.570360278212568;0.0120831736852188;0.135464334414415;"ESC";"10.0 to 16.9"
0.505352619316991;-0.00930913774738013;-0.097873294205669;-0.0481770658610756;"ESC";"10.0 to 16.9"
0.43189109425462;-0.016408461468104;0.183457820927266;0.504913377684449;"ESC";"10.0 to 16.9"
-0.253185909963218;0.0640456580558612;-0.12433825299058;0.859206928185423;"ESC";"10.0 to 16.9"
0.461449845639118;0.232086445616712;0.324681122967226;0.536140514429329;"ESC";"10.0 to 16.9"
0.836530665329314;-0.539162439109477;-0.0234066836248894;0.0697982382232425;"ESC";"10.0 to 16.9"
0.610892648270177;0.333276945389905;-0.251913191061285;0.526712921639502;"ESC";"10.0 to 16.9"
0.352712625666851;-0.0430710726934598;0.0984690673096952;0.167816111523972;"ESC";"10.0 to 16.9"
0.36295571812849;0.470756148115369;-0.173123035347717;0.341822890197274;"ESC";"10.0 to 16.9"
0.231411762592318;0.318602584135824;-0.386172505510496;0.0645036248798255;"ESC";"10.0 to 16.9"
0.461449845639118;0.232086445616712;0.324681122967226;0.536140514429329;"ESC";"10.0 to 16.9"
-0.142751769742338;0.651348821144791;-0.151795467440185;0.690572892100099;"ESC";"10.0 to 16.9"
0.886617016743295;-0.0705238291866293;-0.103472721577021;-0.0907558426511177;"ESC";"10.0 to 16.9"
0.794112945351125;-0.164186091965818;-0.0413559847358371;0.138180015506258;"ESC";"10.0 to 16.9"
0.44330312898241;0.539031072599412;-0.0364946892434197;-0.389957821095558;"ESC";"10.0 to 16.9"
0.78360129639546;0.194149991159705;-0.197593826020748;0.195865990740585;"ESC";"10.0 to 16.9"
-0.204020763667861;0.501174117759208;-0.699783320884152;-0.641984751122765;"ESC";"10.0 to 16.9"
0.794112945351125;-0.164186091965818;-0.0413559847358371;0.138180015506258;"ESC";"10.0 to 16.9"
0.37986341116453;-0.782496029623609;-0.2199100682884;-0.309656557577972;"RAS";"0 to 5.0"
0.536541929164284;-0.0321753883766082;0.329813445953706;-0.377564776620583;"RAS";"0 to 5.0"
-0.344826948642448;-0.359319851038675;0.965558384693272;0.0827056842171594;"RAS";"0 to 5.0"
0.614895988905731;-0.0775449640850487;0.128041975728774;-0.662544162472634;"RAS";"0 to 5.0"
0.536541929164284;-0.0321753883766082;0.329813445953706;-0.377564776620583;"RAS";"0 to 5.0"
0.41800639898292;0.0802529220795862;0.337515601284884;-0.298741026976463;"RAS";"0 to 5.0"
0.649920334749479;-0.0841043383774424;-0.344433200360154;0.132431147735324;"RAS";"0 to 5.0"
0.532689149749105;-0.103300222366887;0.4736595627953;-0.0986551765503434;"RAS";"0 to 5.0"
0.283235333622374;0.270375800003551;0.249539173069168;-0.439231637793596;"RAS";"5.1 to 9.9"
0.513022676009857;-0.590045229586782;0.231819560291202;0.0042643677800548;"RAS";"5.1 to 9.9"
0.456712368047773;0.5517289572362;0.553048381024719;-0.16374922603079;"RAS";"5.1 to 9.9"
0.355231943118824;0.166465098150081;-0.0118132731508648;0.335509606529864;"RAS";"5.1 to 9.9"
0.293753616373166;-0.639480597154906;0.337192281537408;-0.505273077904424;"RAS";"5.1 to 9.9"
0.610082349011661;0.45693749992595;0.156220250443112;-0.209867419372457;"RAS";"5.1 to 9.9"
0.426373639175928;0.236257900226759;0.400948146908681;0.273952524208852;"RAS";"5.1 to 9.9"
0.610082349011661;0.45693749992595;0.156220250443112;-0.209867419372457;"RAS";"5.1 to 9.9"
0.159583037020945;0.17546681180486;-0.450944283128867;-0.150197305427986;"RAS";"5.1 to 9.9"
0.610082349011661;0.45693749992595;0.156220250443112;-0.209867419372457;"RAS";"5.1 to 9.9"
0.513022676009857;-0.590045229586782;0.231819560291202;0.0042643677800548;"RAS";"5.1 to 9.9"
0.615046116502433;0.151719036896831;0.310197283897978;-0.38159997359352;"RAS";"5.1 to 9.9"
0.606834762577193;0.404275997644114;0.240741573440686;0.151466689112098;"RAS";"5.1 to 9.9"
0.293753616373166;-0.639480597154906;0.337192281537408;-0.505273077904424;"RAS";"5.1 to 9.9"
-0.197137086939377;-0.277929536659359;-0.546130327590112;0.127506110883218;"RAS";"5.1 to 9.9"
0.610912116402841;0.131028400900208;0.0681462163845278;0.0192402309997768;"RAS";"5.1 to 9.9"
0.293753616373166;-0.639480597154906;0.337192281537408;-0.505273077904424;"RAS";"5.1 to 9.9"
0.610912116402841;0.131028400900208;0.0681462163845278;0.0192402309997768;"RAS";"5.1 to 9.9"
0.426373639175928;0.236257900226759;0.400948146908681;0.273952524208852;"RAS";"5.1 to 9.9"
0.293753616373166;-0.639480597154906;0.337192281537408;-0.505273077904424;"RAS";"5.1 to 9.9"
0.59276659633998;0.264587924569847;0.372141047722008;-0.136663882315323;"RAS";"5.1 to 9.9"
0.606834762577193;0.404275997644114;0.240741573440686;0.151466689112098;"RAS";"5.1 to 9.9"
-0.323690644733232;-0.242220412762858;-0.463889710321115;-0.421203603856743;"RAS";"10.0 to 16.9"
0.586169229749978;-0.00819270838882334;-0.524650183268172;-0.214043287481166;"RAS";"10.0 to 16.9"
0.630083332243981;0.254397695780658;-0.189806949676366;-0.170476779390435;"RAS";"10.0 to 16.9"
0.381237132077471;0.665754833330758;0.344831785030108;0.425955967154757;"RAS";"10.0 to 16.9"
0.568705949509969;0.285593132890406;-0.373300666699514;-0.0235612596023021;"RAS";"10.0 to 16.9"
0.359616652114323;-0.00170682933077273;-0.411696434883731;-0.270702217295789;"RAS";"10.0 to 16.9"
0.182536708540341;0.0730714694772912;-0.432950219286713;0.16663189912028;"RAS";"10.0 to 16.9"
0.359616652114323;-0.00170682933077273;-0.411696434883731;-0.270702217295789;"RAS";"10.0 to 16.9"
0.359616652114323;-0.00170682933077273;-0.411696434883731;-0.270702217295789;"RAS";"10.0 to 16.9"
0.182536708540341;0.0730714694772912;-0.432950219286713;0.16663189912028;"RAS";"10.0 to 16.9"
0.39563360304904;-0.157667479402802;-0.400741548957082;0.636115429611257;"RAS";"10.0 to 16.9"
0.39563360304904;-0.157667479402802;-0.400741548957082;0.636115429611257;"RAS";"10.0 to 16.9"
-0.295714031654029;-0.231003795589014;-0.664330954126738;-0.112147258880801;"RAS";"10.0 to 16.9"
-0.197941993439035;-0.517258872557784;-0.71770115773418;0.00759525227737371;"RAS";"10.0 to 16.9"
-0.295714031654029;-0.231003795589014;-0.664330954126738;-0.112147258880801;"RAS";"10.0 to 16.9"
-0.045280550378642;0.528031983300868;-1.02573112650058;-0.0964286588248842;"RAS";"10.0 to 16.9"
-0.295714031654029;-0.231003795589014;-0.664330954126738;-0.112147258880801;"RAS";"10.0 to 16.9"
0.39563360304904;-0.157667479402802;-0.400741548957082;0.636115429611257;"RAS";"10.0 to 16.9"
-0.323690644733232;-0.242220412762858;-0.463889710321115;-0.421203603856743;"RAS";"10.0 to 16.9"
0.583455290145945;-0.0651677580953935;0.0269148369139859;0.0904465300790247;"RAS";"10.0 to 16.9"
-0.0452805503786419;0.528031983300868;-1.02573112650058;-0.0964286588248841;"RAS";"10.0 to 16.9"
-0.295714031654029;-0.231003795589014;-0.664330954126738;-0.112147258880801;"RAS";"10.0 to 16.9"
0.136463847491948;0.0106170647928582;-0.290739140357442;-0.511432636857761;"RAS";"10.0 to 16.9"
0.397653752012007;0.351278987668475;0.0800058701087056;-0.0259694324419614;"RAS";"10.0 to 16.9"
0.136463847491948;0.0106170647928582;-0.290739140357442;-0.511432636857761;"RAS";"10.0 to 16.9"
